title,language,country,id,year,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,id,abstract
[Information analysis of development of researches on global neglected tropical diseases].,chi,China,23894837,2013,Xu,Xiao-Lin,XL,Guo,Jia-Gang,JG,23894837,"OBJECTIVE: To reveal the development and evolution pathway of global neglected tropical diseases (NTDs) from the bibliometrics and information visualization perspective.METHODS: The research publications on the subject of NTDs from Web of Science, PubMed and PLoS NTD were retrieved and analyzed by using the bibliometrics analysis, visualization analysis and citation strategic diagrams.RESULTS: The number of publications on the subject of NTDs from 2005 to 2013 had being growing gradually year by year, but there were some differences from disease to disease. The distribution of the authors, organizations and countries of the publications could be classified into two clusters, one was represented by US and UK and the other was represented by Switzerland and China. The research subjects of the publications contained epidemiology, laboratory and social economics based on population and animals. Six key and hot topics were revealed as follows: the disease burden; incorporating the control of NTDs into the programs of HIV/AIDS, tuberculosis, and malaria; comprehensive control strategies and their influence factors; human chemotherapy and its influence factors; vaccine; research and development innovation.CONCLUSION: The NTDs research in the globe is on its developing way with both challenges and opportunities, more concerns and investments, as well as the cooperations among different countries, organizations and disciplines are needed."
Dry-coated live viral vector vaccines delivered by nanopatch microprojections retain long-term thermostability and induce transgene-specific T cell responses in mice.,eng,United Kingdom,10.1371/journal.pone.0067888,2013,Pearson,Frances E,FE,Kendall,Mark A F,MA,10.1371/journal.pone.0067888,"The disadvantages of needle-based immunisation motivate the development of simple, low cost, needle-free alternatives. Vaccine delivery to cutaneous environments rich in specialised antigen-presenting cells using microprojection patches has practical and immunological advantages over conventional needle delivery. Additionally, stable coating of vaccine onto microprojections removes logistical obstacles presented by the strict requirement for cold-chain storage and distribution of liquid vaccine, or lyophilised vaccine plus diluent. These attributes make these technologies particularly suitable for delivery of vaccines against diseases such as malaria, which exerts its worst effects in countries with poorly-resourced healthcare systems. Live viral vectors including adenoviruses and poxviruses encoding exogenous antigens have shown significant clinical promise as vaccines, due to their ability to generate high numbers of antigen-specific T cells. Here, the simian adenovirus serotype 63 and the poxvirus modified vaccinia Ankara--two vectors under evaluation for the delivery of malaria antigens to humans--were formulated for coating onto Nanopatch microprojections and applied to murine skin. Co-formulation with the stabilising disaccharides trehalose and sucrose protected virions during the dry-coating process. Transgene-specific CD8(+) T cell responses following Nanopatch delivery of both vectors were similar to intradermal injection controls after a single immunisation (despite a much lower delivered dose), though MVA boosting of pre-primed responses with Nanopatch was found to be less effective than the ID route. Importantly, disaccharide-stabilised ChAd63 could be stored for 10 weeks at 37°C with less than 1 log10 loss of viability, and retained single-dose immunogenicity after storage. These data support the further development of microprojection patches for the deployment of live vaccines in hot climates."
Modeling the public health impact of malaria vaccines for developers and policymakers.,eng,England,1471-2334-13-295,2013,Nunes,Julia K,JK,Brooks,Alan,A,1471-2334-13-295,"BACKGROUND: Efforts to develop malaria vaccines show promise. Mathematical model-based estimates of the potential demand, public health impact, and cost and financing requirements can be used to inform investment and adoption decisions by vaccine developers and policymakers on the use of malaria vaccines as complements to existing interventions. However, the complexity of such models may make their outputs inaccessible to non-modeling specialists. This paper describes a Malaria Vaccine Model (MVM) developed to address the specific needs of developers and policymakers, who need to access sophisticated modeling results and to test various scenarios in a user-friendly interface. The model's functionality is demonstrated through a hypothetical vaccine.METHODS: The MVM has three modules: supply and demand forecast; public health impact; and implementation cost and financing requirements. These modules include pre-entered reference data and also allow for user-defined inputs. The model includes an integrated sensitivity analysis function. Model functionality was demonstrated by estimating the public health impact of a hypothetical pre-erythrocytic malaria vaccine with 85% efficacy against uncomplicated disease and a vaccine efficacy decay rate of four years, based on internationally-established targets. Demand for this hypothetical vaccine was estimated based on historical vaccine implementation rates for routine infant immunization in 40 African countries over a 10-year period. Assumed purchase price was $5 per dose and injection equipment and delivery costs were $0.40 per dose.RESULTS: The model projects the number of doses needed, uncomplicated and severe cases averted, deaths and disability-adjusted life years (DALYs) averted, and cost to avert each. In the demonstration scenario, based on a projected demand of 532 million doses, the MVM estimated that 150 million uncomplicated cases of malaria and 1.1 million deaths would be averted over 10 years. This is equivalent to 943 uncomplicated cases and 7 deaths averted per 1,000 vaccinees. In discounted 2011 US dollars, this represents $11 per uncomplicated case averted and $1,482 per death averted. If vaccine efficacy were reduced to 75%, the estimated uncomplicated cases and deaths averted over 10 years would decrease by 14% and 19%, respectively.CONCLUSIONS: The MVM can provide valuable information to assist decision-making by vaccine developers and policymakers, information which will be refined and strengthened as field studies progress allowing further validation of modeling assumptions."
Alga-produced cholera toxin-Pfs25 fusion proteins as oral vaccines.,eng,United States,AEM.00714-13,2013,Gregory,James A,JA,Mayfield,Stephen,S,AEM.00714-13,"Infectious diseases disproportionately affect indigent regions and are the greatest cause of childhood mortality in developing countries. Practical, low-cost vaccines for use in these countries are paramount to reducing disease burdens and concomitant poverty. Algae are a promising low-cost system for producing vaccines that can be orally delivered, thereby avoiding expensive purification and injectable delivery. We engineered the chloroplast of the eukaryotic alga Chlamydomonas reinhardtii to produce a chimeric protein consisting of the 25-kDa Plasmodium falciparum surface protein (Pfs25) fused to the β subunit of the cholera toxin (CtxB) to investigate an alga-based whole-cell oral vaccine. Pfs25 is a promising malaria transmission-blocking vaccine candidate that has been difficult to produce in traditional recombinant systems due to its structurally complex tandem repeats of epidermal growth factor-like domains. The noncatalytic CtxB domain of the cholera holotoxin assembles into a pentameric structure and acts as a mucosal adjuvant by binding GM1 ganglioside receptors on gut epithelial cells. We demonstrate that CtxB-Pfs25 accumulates as a soluble, properly folded and functional protein within algal chloroplasts, and it is stable in freeze-dried alga cells at ambient temperatures. In mice, oral vaccination using freeze-dried algae that produce CtxB-Pfs25 elicited CtxB-specific serum IgG antibodies and both CtxB- and Pfs25-specific secretory IgA antibodies. These data suggest that algae are a promising system for production and oral delivery of vaccine antigens, but as an orally delivered adjuvant, CtxB is best suited for eliciting secretory IgA antibodies for vaccine antigens against pathogens that invade mucosal surfaces using this strategy."
"Vaccines today, vaccines tomorrow: a perspective.",eng,Korea (South),10.7774/cevr.2013.2.1.4,2013,Loucq,Christian,C,Loucq,Christian,C,10.7774/cevr.2013.2.1.4,"Vaccines are considered as one of the major contributions of the 20th century and one of the most cost effective public health interventions. The International Vaccine Institute has as a mission to discover, develop and deliver new and improved vaccines against infectious diseases that affects developing nations. If Louis Pasteur is known across the globe, vaccinologists like Maurice Hilleman, Jonas Salk and Charles Mérieux are known among experts only despite their contribution to global health. Thanks to a vaccine, smallpox has been eradicated, polio has nearly disappeared, Haemophilus influenzae B, measles and more recently meningitis A are controlled in many countries. While a malaria vaccine is undergoing phase 3, International Vaccine Institute, in collaboration with an Indian manufacturer has brought an oral inactivated cholera vaccine to pre-qualification. The field of vaccinology has undergone major changes thanks to philanthropists such as Bill and Melinda Gates, initiatives like the Decade of Vaccines and public private partnerships. Current researches on vaccines have more challenging targets like the dengue viruses, malaria, human immunodeficiency virus, the respiratory syncytial virus and nosocomial diseases. Exciting research is taking place on new adjuvants, nanoparticles, virus like particles and new route of administration. An overcrowded infant immunization program, anti-vaccine groups, immunizing a growing number of elderlies and delivering vaccines to difficult places are among challenges faced by vaccinologists and global health experts."
Malaria vaccines: high-throughput tools for antigens discovery with potential for their development.,eng,Colombia,24892459,2013,Céspedes,Nora,N,Herrera,Sócrates,S,24892459,"Malaria is a disease induced by parasites of the Plasmodium genus, which are transmitted by Anopheles mosquitoes and represents a great socio-economic burden Worldwide. Plasmodium vivax is the second species of malaria Worldwide, but it is the most prevalent in Latin America and other regions of the planet. It is currently considered that vaccines represent a cost-effective strategy for controlling transmissible diseases and could complement other malaria control measures; however, the chemical and immunological complexity of the parasite has hindered development of effective vaccines. Recent availability of several genomes of Plasmodium species, as well as bioinformatic tools are allowing the selection of large numbers of proteins and analysis of their immune potential. Herein, we review recently developed strategies for discovery of novel antigens with potential for malaria vaccine development.Abstract available from the publisher."
Malaria vaccine can prevent millions of deaths in the world.,eng,United States,23403452,2013,Verma,Ramesh,R,Chawla,Suraj,S,23403452,"Malaria is a major public health problem, afflicting ~36% of the world's population. The World Health Organization (WHO) has estimated that there were 216 million cases of malaria in 2010, and ~655,000 people died from the disease (~2000 per day), many under age five. Yet the disease, a killer for centuries, remains endemic in many poor nations, particularly in Africa, where it is blamed for retarding economic growth. India contributes ~70% of the 2.5 million reported cases in Southeast Asia. Malaria is also an important threat to travelers to the tropics, causing thousands of cases of illness and occasional deaths. The 5 Plasmodium species known to cause malaria are P. falciparum, P. vivax, P. ovale, P. malariae and P. knowlesi. Most cases of malaria are uncomplicated, but some can quickly turn into severe, often fatal, episodes in vulnerable individuals if not promptly diagnosed and effectively treated. Malaria vaccines have been an area of intensive research, but there is no effective vaccine. Vaccines are among the most cost-effective tools for public health; they have historically contributed to a reduction in the spread and burden of infectious diseases. Many antigens present throughout the parasite life cycle that could be vaccine targets. More than 30 of these are being researched by teams worldwide in the hope of identifying a combination that can elicit protective immunity. Most vaccine research has focused on the P. falciparum strain due to its high mortality and the ease of conducting in vitro and in vivo studies. DNA-based vaccines are a new technology that may hold hope for an effective malaria vaccine."
"Scientific challenges and opportunities in developing novel vaccines for the emerging and developing markets: New Technologies in Emerging Markets, October 16th-18th 2012, World Vaccine Congress, Lyon.",eng,United States,23322007,2013,Kochhar,Sonali,S,Kochhar,Sonali,S,23322007,"Vaccines have had a major role in enhancing the quality of life and increasing life expectancy. Despite these successes and the development of new vaccine technologies, there remain multiple infectious diseases including AIDS, malaria and tuberculosis that require effective prophylactic vaccines. New and traditional technologies have a role in the development and delivery of the new vaccine candidates. The scientific challenges, opportunities and funding models for developing vaccines for low resource settings are highlighted here."
Engineered PRINT(®) nanoparticles for controlled delivery of antigens and immunostimulants.,eng,United States,10.4161/hv.28817,2014,Beletskii,Anton,A,Malinoski,Frank,F,10.4161/hv.28817,"Particle replication in non-wetting templates (PRINT) is a novel nanoparticle platform that provides compositional flexibility with the ability to specify size and shape in formulating vaccines. The PRINT platform also offers manufacturing and cost advantages over traditional particle technologies. Across multiple antigen and adjuvant formulations, robust antibody and cellular responses have been achieved using PRINT particles in mouse models. Preclinical studies applying PRINT technology in the disease areas of influenza, malaria, and pneumonia are described in this commentary. The proof of principle studies pave the way toward significant cost-effective solutions to global vaccine supply needs."
Sampling at community level by using satellite imagery and geographical analysis.,eng,United States,10.2471/BLT.14.140756,2014,Escamilla,Veronica,V,Hoffman,Irving,I,10.2471/BLT.14.140756,"PROBLEM: Traditional random sampling at community level requires a list of every individual household that can be randomly selected in the study community. The longitudinal demographic surveillance systems often used as sampling frames are difficult to create in many resource-poor settings.APPROACH: We used Google Earth imagery and geographical analysis software to develop a sampling frame. Every household structure within the catchment area was digitized and assigned coordinates. A random sample was then generated from the list of households.LOCAL SETTING: The sampling took place in Lilongwe, Malawi and formed a part of an investigation of the intensity of Plasmodium falciparum transmission in a multi-site Phase III trial of a candidate malaria vaccine.RELEVANT CHANGES: Creation of a complete list of household coordinates within the catchment area allowed us to generate a random sample representative of the population. Once the coordinates of the households in that sample had been entered into the hand-held receivers of a global positioning system device, the households could be accurately identified on the ground and approached.LESSONS LEARNT: In the development of a geographical sampling frame, the use of Google Earth satellite imagery and geographical software appeared to be an efficient alternative to the use of a demographic surveillance system. The use of a complete list of household coordinates reduced the time needed to locate households in the random sample. Our approach to generate a sampling frame is accurate, has utility beyond morbidity studies and appears to be a cost-effective option in resource-poor settings.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher."
Burden of malaria in early pregnancy: a neglected problem?,eng,United States,25362205,2014,Huynh,Bich-Tram,BT,Briand,Valérie,V,25362205,"According to the current World Health Organization guidelines, the drug prevention of malaria during pregnancy does not adequately cover the first trimester of gestation in high-transmission areas. Although the pathophysiological mechanisms of early infections are not completely understood yet, a review of the most recent studies on the topic suggests that their consequences are serious in terms of maternal anemia and low birth weight. Consequently, there is a need to focus on the awareness of women in a period hard to access, to develop safe drugs to be used in the first trimester, and to consider preconceptional interventions in teenage girls, such as a new malaria vaccine to be used in pregnancy."
"New insight-guided approaches to detect, cure, prevent and eliminate malaria.",eng,Austria,10.1007/s00709-014-0697-x,2014,Kumar,Sushil,S,Pandey,Richa,R,10.1007/s00709-014-0697-x,"New challenges posed by the development of resistance against artemisinin-based combination therapies (ACTs) as well as previous first-line therapies, and the continuing absence of vaccine, have given impetus to research in all areas of malaria control. This review portrays the ongoing progress in several directions of malaria research. The variants of RTS,S and apical membrane antigen 1 (AMA1) are being developed and test adapted as multicomponent and multistage malaria control vaccines, while many other vaccine candidates and methodologies to produce antigens are under experimentation. To track and prevent the spread of artemisinin resistance from Southeast Asia to other parts of the world, rolling circle-enhanced enzyme activity detection (REEAD), a time- and cost-effective malaria diagnosis in field conditions, and a DNA marker associated with artemisinin resistance have become available. Novel mosquito repellents and mosquito trapping and killing techniques much more effective than the prevalent ones are undergoing field testing. Mosquito lines stably infected with their symbiotic wild-type or genetically engineered bacteria that kill sympatric malaria parasites are being constructed and field tested for stopping malaria transmission. A complementary approach being pursued is the addition of ivermectin-like drug molecules to ACTs to cure malaria and kill mosquitoes. Experiments are in progress to eradicate malaria mosquito by making it genetically male sterile. High-throughput screening procedures are being developed and used to discover molecules that possess long in vivo half life and are active against liver and blood stages for the fast cure of malaria symptoms caused by simple or relapsing and drug-sensitive and drug-resistant types of varied malaria parasites, can stop gametocytogenesis and sporogony and could be given in one dose. Target-based antimalarial drug designing has begun. Some of the putative next-generation antimalarials that possess in their scaffold structure several of the desired properties of malaria cure and control are exemplified by OZ439, NITD609, ELQ300 and tafenoquine that are already undergoing clinical trials, and decoquinate, usnic acid, torin-2, ferroquine, WEHI-916, MMV396749 and benzothiophene-type N-myristoyltransferase (NMT) inhibitors, which are candidates for future clinical usage. Among these, NITD609, ELQ300, decoquinate, usnic acid, torin-2 and NMT inhibitors not only cure simple malaria and are prophylactic against simple malaria, but they also cure relapsing malaria."
Malaria vaccine candidate antigen targeting the pre-erythrocytic stage of Plasmodium falciparum produced at high level in plants.,eng,Germany,25200253,2014,Voepel,Nadja,N,Fischer,Rainer,R,25200253,"Plants have emerged as low-cost production platforms suitable for vaccines targeting poverty-related diseases. Besides functional efficacy, the stability, yield, and purification process determine the production costs of a vaccine and thereby the feasibility of plant-based production. We describe high-level plant production and functional characterization of a malaria vaccine candidate targeting the pre-erythrocytic stage of Plasmodium falciparum. CCT, a fusion protein composed of three sporozoite antigens (P. falciparum cell traversal protein for ookinetes and sporozoites [PfCelTOS], P. falciparum circumsporozoite protein [PfCSP], and P. falciparum thrombospondin-related adhesive protein [PfTRAP]), was transiently expressed by agroinfiltration in Nicotiana benthamiana leaves, accumulated to levels up to 2 mg/g fresh leaf weight (FLW), was thermostable up to 80°C and could be purified to &gt;95% using a simple two-step procedure. Reactivity of sera from malaria semi-immune donors indicated the immunogenic conformation of the purified fusion protein consisting of PfCelTOS, PfCSP_TSR, PfTRAP_TSR domains (CCT) protein. Total IgG from the CCT-specific mouse immune sera specifically recognized P. falciparum sporozoites in immunofluorescence assays and induced up to 35% inhibition in hepatocyte invasion assays. Featuring domains from three promising sporozoite antigens with different roles (attachment and cell traversal) in the hepatocyte invasion process, CCT has the potential to elicit broader immune responses against the pre-erythrocytic stage of P. falciparum and represents an interesting new candidate, also as a component of multi-stage, multi-subunit malaria vaccine cocktails."
Use of immunodampening to overcome diversity in the malarial vaccine candidate apical membrane antigen 1.,eng,United States,IAI.02061-14,2014,Harris,Karen S,KS,Foley,Michael,M,IAI.02061-14,"Apical membrane antigen 1 (AMA1) is a leading malarial vaccine candidate; however, its polymorphic nature may limit its success in the field. This study aimed to circumvent AMA1 diversity by dampening the antibody response to the highly polymorphic loop Id, previously identified as a major target of strain-specific, invasion-inhibitory antibodies. To achieve this, five polymorphic residues within this loop were mutated to alanine, glycine, or serine in AMA1 of the 3D7 and FVO Plasmodium falciparum strains. Initially, the corresponding antigens were displayed on the surface of bacteriophage, where the alanine and serine but not glycine mutants folded correctly. The alanine and serine AMA1 mutants were expressed in Escherichia coli, refolded in vitro, and used to immunize rabbits. Serological analyses indicated that immunization with a single mutated form of 3D7 AMA1 was sufficient to increase the cross-reactive antibody response. Targeting the corresponding residues in an FVO backbone did not achieve this outcome. The inclusion of at least one engineered form of AMA1 in a biallelic formulation resulted in an antibody response with broader reactivity against different AMA1 alleles than combining the wild-type forms of 3D7 and FVO AMA1 alleles. For one combination, this extended to an enhanced relative growth inhibition of a heterologous parasite line, although this was at the cost of reduced overall inhibitory activity. These results suggest that targeted mutagenesis of AMA1 is a promising strategy for overcoming antigenic diversity in AMA1 and reducing the number of variants required to induce an antibody response that protects against a broad range of Plasmodium falciparum AMA1 genotypes. However, optimization of the immunization regime and mutation strategy will be required for this potential to be realized."
"Advice on malaria and yellow fever prevention provided at travel agencies in Cuzco, Peru.",eng,United States,10.1111/jtm.12149,2014,Villanueva-Meyer,Pablo G,PG,Cabada,Miguel M,MM,10.1111/jtm.12149,"BACKGROUND: Travelers receive medical advice from a variety of sources, including travel agencies. The aim of this study is to describe the quality of pre-travel advice provided by travel agencies in Cuzco to travelers interested in visiting malaria and yellow fever endemic areas.METHODS: Trained medical students posed as tourists and visited travel agencies in Cuzco requesting travel advice for a trip to the southern Amazon of Peru, recording advice regarding risk and prevention of malaria and yellow fever.RESULTS: A total of 163 registered travel agencies were included in the study. The mean proposed tour duration was 6.8 days (±1.4 days) with a median time to departure of 3 days and a median tour cost of 805 US dollars (USD) [interquartile range (IQR) 580-1,095]. Overall, 45% employees failed to mention the risk for any illness. Eighteen percent of the employees acknowledged risk of malaria and 53% risk of yellow fever. However, 36% denied malaria risk and 2% denied risk of yellow fever in the region. The price of tours from travel agencies that did not mention any health risk was significantly lower [1,009.6 ± 500.5 vs 783.9 ± 402 USD, t (152) = 3, p &lt; 0.01] compared with the price from agencies that did mention health risks. Almost all who acknowledged malaria (97%) and/or yellow fever (100%) were able to provide at least one recommendation for prevention. However, advice was not always accurate or spontaneously volunteered. Only 7% of the employees provided both correct scheduling and location information for administration of the yellow fever vaccine.CONCLUSIONS: The majority of registered travel agencies in Cuzco did not provide sufficient and accurate information regarding risk and prevention of malaria and yellow fever to travelers inquiring about trips to the southern Amazon of Peru."
Vaccines against poverty.,eng,United States,1400473111,2014,MacLennan,Calman A,CA,Saul,Allan,A,1400473111,"With the 2010s declared the Decade of Vaccines, and Millennium Development Goals 4 and 5 focused on reducing diseases that are potentially vaccine preventable, now is an exciting time for vaccines against poverty, that is, vaccines against diseases that disproportionately affect low- and middle-income countries (LMICs). The Global Burden of Disease Study 2010 has helped better understand which vaccines are most needed. In 2012, US$1.3 billion was spent on research and development for new vaccines for neglected infectious diseases. However, the majority of this went to three diseases: HIV/AIDS, malaria, and tuberculosis, and not neglected diseases. Much of it went to basic research rather than development, with an ongoing decline in funding for product development partnerships. Further investment in vaccines against diarrheal diseases, hepatitis C, and group A Streptococcus could lead to a major health impact in LMICs, along with vaccines to prevent sepsis, particularly among mothers and neonates. The Advanced Market Commitment strategy of the Global Alliance for Vaccines and Immunisation (GAVI) Alliance is helping to implement vaccines against rotavirus and pneumococcus in LMICs, and the roll out of the MenAfriVac meningococcal A vaccine in the African Meningitis Belt represents a paradigm shift in vaccines against poverty: the development of a vaccine primarily targeted at LMICs. Global health vaccine institutes and increasing capacity of vaccine manufacturers in emerging economies are helping drive forward new vaccines for LMICs. Above all, partnership is needed between those developing and manufacturing LMIC vaccines and the scientists, health care professionals, and policy makers in LMICs where such vaccines will be implemented."
Cost-effectiveness of surgery and its policy implications for global health: a systematic review and analysis.,eng,England,S2214-109X(14)70213-X,2014,Chao,Tiffany E,TE,Meara,John G,JG,S2214-109X(14)70213-X,"BACKGROUND: The perception of surgery as expensive and complex might be a barrier to its widespread acceptance in global health efforts. We did a systematic review and analysis of cost-effectiveness studies that assess surgical interventions in low-income and middle-income countries to help quantify the potential value of surgery.METHODS: We searched Medline for all relevant articles published between Jan 1, 1996 and Jan 31, 2013, and searched the reference lists of retrieved articles. We converted all results to 2012 US$. We extracted cost-effectiveness ratios (CERs) and appraised economic assessments for their methodological quality using the 10-point Drummond checklist.FINDINGS: Of the 584 identified studies, 26 met full inclusion criteria. Together, these studies gave 121 independent CERs in seven categories of surgical interventions. The median CER of circumcision ($13·78 per disability-adjusted life year [DALY]) was similar to that of standard vaccinations ($12·96-25·93 per DALY) and bednets for malaria prevention ($6·48-22·04 per DALY). Median CERs of cleft lip or palate repair ($47·74 per DALY), general surgery ($82·32 per DALY), hydrocephalus surgery ($108·74 per DALY), and ophthalmic surgery ($136 per DALY) were similar to that of the BCG vaccine ($51·86-220·39 per DALY). Median CERs of caesarean sections ($315·12 per DALY) and orthopaedic surgery ($381·15 per DALY) are more favourable than those of medical treatment for ischaemic heart disease ($500·41-706·54 per DALY) and HIV treatment with multidrug antiretroviral therapy ($453·74-648·20 per DALY).INTERPRETATION: Our findings suggest that many essential surgical interventions are cost-effective or very cost-effective in resource-poor countries. Quantification of the economic value of surgery provides a strong argument for the expansion of global surgery's role in the global health movement. However, economic value should not be the only argument for resource allocation--other organisational, ethical, and political arguments can also be made for its inclusion."
Evaluation of the Schistosoma mansoni Y-box-binding protein (SMYB1) potential as a vaccine candidate against schistosomiasis.,eng,Switzerland,10.3389/fgene.2014.00174,2014,Dias,Sílvia R C,SR,Franco,Glória R,GR,10.3389/fgene.2014.00174,"Schistosomiasis is a neglected tropical disease, and after malaria, is the second most important tropical disease in public health. A vaccine that reduces parasitemia is desirable to achieve mass treatment with a low cost. Although potential antigens have been identified and tested in clinical trials, no effective vaccine against schistosomiasis is available. Y-box-binding proteins (YBPs) regulate gene expression and participate in a variety of cellular processes, including transcriptional and translational regulation, DNA repair, cellular proliferation, drug resistance, and stress responses. The Schistosoma mansoni ortholog of the human YB-1, SMYB1, is expressed in all stages of the parasite life cycle. Although SMYB1 binds to DNA or RNA oligonucleotides, immunohistochemistry assays demonstrated that it is primarily localized in the cytoplasm of parasite cells. In addition, SMYB1 interacts with a protein involved in mRNA processing, suggesting that SMYB1 functions in the turnover, transport, and/or stabilization of RNA molecules during post-transcriptional gene regulation. Here we report the potential of SMYB1 as a vaccine candidate. We demonstrate that recombinant SMYB1 stimulates the production of high levels of specific IgG1 antibodies in a mouse model. The observed levels of specific IgG1 and IgG2a antibodies indicate an actual protection against cercariae challenge. Animals immunized with rSMYB1 exhibited a 26% reduction in adult worm burden and a 28% reduction in eggs retained in the liver. Although proteins from the worm tegument are considered optimal targets for vaccine development, this study demonstrates that unexposed cytoplasmic proteins can reduce the load of intestinal worms and the number of eggs retained in the liver."
"New compounds hybrids 1h-1,2,3-triazole-quinoline against Plasmodium falciparum.",eng,England,24803084,2014,Boechat,Núbia,N,Krettli,Antoniana U,AU,24803084,"Malaria is one of the most prevalent parasitic diseases in the world. The global importance of this disease, current vector control limitations, and the absence of an effective vaccine make the use of therapeutic antimalarial drugs the main strategy to control malaria. Chloroquine is a cost-effective antimalarial drug with a relatively robust safety profile, or therapeutic index. However, chloroquine is no longer used alone to treat patients with Plasmodium falciparum due to the emergence and spread of chloroquine-resistant strains, which have also been reported for Plasmodium vivax. However, the activity of 1,2,3-triazole derivatives against chloroquine-sensitive and chloroquine-resistant strains of P. falciparum has been reported in the literature. To enhance the anti-P. falciparum activity of quinoline derivatives, we synthesized 11 new quinoline-1H-1,2,3-triazole hybrids with different substituents in the 4-positions of the 1H-1,2,3-triazole ring, which were assayed against the W2-chloroquine-resistant P. falciparum clone. Six compounds exhibited activity against the P. falciparum W2 clone, chloroquine-resistant, with IC50 values ranging from 1.4 to 46 μm. None of these compounds was toxic to a normal monkey kidney cell line, thus exhibiting good selectivity indexes, as high 351 for one compound (11)."
Applications of nanoparticles for DNA based rabies vaccine.,eng,United States,24730305,2014,Shah,Muhammad Ali A,MA,Mao,Lanlan,L,24730305,"Rabies is a fatal encephalomyelitis. Most cases occur in developing countries and are transmitted by dogs. The cell culture vaccines as associated with high cost; therefore, have not replaced the unsafe brain-derived vaccines. In the developing countries these brain-derived rabies vaccines still can be seen in action. Moreover, there will be a need for vaccines against rabies-related viruses against which classical vaccines are not always effective. The worldwide incidence of rabies and the inability of currently used vaccination strategies to provide highly potent and cost-effective therapy indicate the need for alternate control strategies. DNA vaccines have emerged as the safest vaccines and best remedy for complicated diseases like hepatitis, HIV, and rabies. A number of recombinant DNA vaccines are now being developed against several diseases such as AIDS and malaria. Therefore, it can be a valuable alternative for the production of cheaper rabies vaccines against its larger spectrum of viruses. In this review we report published data on DNA-based immunization with sequences encoding rabies with special reference to nanotechnology."
Malaria vaccine: a step toward elimination.,eng,United States,24643280,2014,Jindal,Harashish,H,Mehta,Bharti,B,24643280,"Malaria has long been recognized as a public health problem. At the community level, vector control, and antimalarial medicines are the main means for reducing incidence, morbidity, and mortality of malaria. A vaccine not only would bring streamlining in the prevention of morbidity and mortality from malaria but also would be more accessible if integrated with Expanded Programme of Immunization (EPI). Globally, an estimated 3.4 billion people are at risk of malaria. Most cases (80%) and deaths (90%) occurred in Africa, and most deaths (77%) are in children under 5 years of age. An effective vaccine has long been envisaged as a valuable addition to the available tools for malaria control. Although research toward the development of malaria vaccines has been pursued since the 1960s, there are no licensed malaria vaccines. The RTS,S/AS01 vaccine, which targets P. falciparum, has reached phase 3 clinical trials and results are promising. Malaria Vaccine Technology Road Map 2013 has envisaged the world aiming for a licensed vaccine by 2030 that would reduce malaria cases by 75% and be capable of eliminating malaria. It will not only fill the gaps of today's interventions but also be a cost-effective method of decreasing morbidity and mortality from malaria."
The dichotomy (generation of MAbs with functional heterogeneity) in antimalarial immune response in vaccinated/protected mice: a new concept in our understanding of the protective immune mechanisms in malaria.,eng,United States,24632591,2014,Singh,Prati Pal,PP,Prakash,Bhanu,B,24632591,"Globally, vaccines have emerged as one of the most effective, safe, and cost-effective public health interventions, and are known to save 2-3 million lives, annually. However, despite various commendable efforts, a suitable human malaria vaccine is yet to see the light of the day. The lack of our complete understanding of the molecular mechanisms of pathogenesis and immune protection in malaria appears to be responsible for this state. Earlier, our laboratory has reported that Swiss mice vaccinated with Plasmodium yoelii nigeriensis-total parasite antigens soluble in culture medium and saponin, following a 100% lethal challenge, showed 60% protection. The monoclonal antibodies (MAbs) generated from the splenocytes of these vaccinated/protected mice, following characterization by in vitro merozoite invasion inhibition assay, ex vivo macrophage phagocytosis assay, and in vivo passive transfer of protection test, belonged to 2 distinct groups-a larger group of MAbs inhibited&lt;58% Mz invasion and transferred 30% passive protection, whereas a smaller group of MAbs inhibited 86% Mz invasion and transferred 60% passive protection. Additionally, the MAbs of the smaller group, as compared with the larger one, mediated nearly 2.4-fold enhanced macrophage phagocytosis of infected-erythrocytes, in vitro. These results thus clearly showed a dichotomy among the generated MAbs. An exploration of the phenomenon of dichotomy in protective immunity in malaria by using various hosts and malaria parasite combinations, especially at the level of antibodies, cells, and cytokines, may add new insights to our understanding of the protective immunity, and help in the identification of biomarkers/biosignatures of immune protection and development of future human malaria vaccines."
