"","title","language","country","id","year","month","day","affiliation","first _author_last_name","first _author_first_name","first _author_initials","last _author_last_name","last _author_first_name","last _author_initials","all_authors","abstract","url"
"431","Vaccine offers meningitis hope.","eng","England","468143a",2010,11,12,NA,"Butler","Declan","D","Butler","Declan","D","Declan Butler","","http://www.ncbi.nlm.nih.gov/pubmed/?term=468143a"
"432","Assessing the impact of East Coast Fever immunisation by the infection and treatment method in Tanzanian pastoralist systems.","eng","Netherlands","S0167-5877(10)00267-9",2010,10,27,"The Royal Veterinary College, Hawkshead Lane, North Mymms, Hatfield, Hertfordshire AL9 7TA, UK. smartins@rvc.ac.uk","Martins","S Babo","SB","Rushton","J","J","S Babo Martins, G Di Giulio, G Lynen, A Peters, J Rushton","A field trial was carried out in a Maasai homestead to assess the impact of East Coast Fever (ECF) immunisation by the infection and treatment method (ITM) with the Muguga Cocktail on the occurrence of this disease in Tanzanian pastoralist systems. These data were further used in partial budgeting and decision analysis to evaluate and compare the value of the control strategy. Overall, ITM was shown to be a cost-effective control option. While one ECF case was registered in the immunised group, 24 cases occurred amongst non-immunised calves. A significant negative association between immunisation and ECF cases occurrence was observed (p≤0.001). ECF mortality rate was also lower in the immunised group. However, as anti-theilerial treatment was given to all diseased calves, no significant negative association between immunisation and ECF mortality was found. Both groups showed an overall similar immunological pattern with high and increasing percentages of seropositive calves throughout the study. This, combined with the temporal distribution of cases in the non-immunised group, suggested the establishment of endemic stability. Furthermore, the economic analysis showed that ITM generated a profit estimated to be 7250 TZS (1 USD=1300 TZS) per vaccinated calf, and demonstrated that it was a better control measure than natural infection and subsequent treatment.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0167-5877(10)00267-9"
"433","Impact of vaccination against chicken Newcastle disease on food intake and food security in rural households in Tanzania.","eng","Japan","20973464",2010,10,27,"University of California, Davis, Department of Nutrition, Davis, CA 95616, USA. dmknueppel@ucdavis.edu","Knueppel","Danielle","D","Kaiser","Lucia","L","Danielle Knueppel, Carol Cardona, Peter Msoffe, Montague Demment, Lucia Kaiser","BACKGROUND: Small-scale poultry production has the potential to increase animal-source food consumption, improve household income, and reduce food insecurity.OBJECTIVE: To assess the impact of a chicken Newcastle disease vaccination program on consumption of chicken and eggs among women and children, income, and food insecurity in rural Tanzanian households.METHODS: Comparisons were made between households from three project villages, which participated in a Newcastle disease vaccination program for chickens, and three control villages, which did not participate. Household interviews were done with mothers from a random sample in March 2008 (237 households) and March 2009 (261 households).RESULTS: After the first year of vaccinations (three rounds), project households kept significantly more chickens and tended to be more food secure than control households. Mothers from project households ate significantly more eggs than their counterparts in control households. A similar trend was observed among children. In 2009, fewer chickens were vaccinated in the project villages than in 2008, and more chickens were independently vaccinated in the control villages. This corresponded with an increase in ownership of chickens, a reduction in food insecurity, and improved consumption of eggs in control villages, whereas chicken ownership and egg consumption decreased and food insecurity remained relatively stable in project villages. We saw no differences between project and control villages in income earned from chicken and egg sales.CONCLUSIONS: Our findings suggest that an increase in chicken Newcastle disease vaccination can lead to an increase in ownership of chickens and egg consumption and may also have an effect on reducing household food insecurity.","http://www.ncbi.nlm.nih.gov/pubmed/?term=20973464"
"434","[Emergency immunotherapy: snake and scorpion antivenoms].","fre","France","10.1051/jbio/2009042",2010,10,19,"Unité de recherche Santé de la mère et de l'enfant en milieu tropical, (IRD UR010), Université Paris Descartes, 4 avenue de l'Observatoire, Paris Cedex 06, France. jean-philippe.chippaux@ird.fr","Chippaux","Jean-Philippe","JP","Chippaux","Jean-Philippe","JP","Jean-Philippe Chippaux","Passive immunotherapy was discovered in 1894. It is the only etiological treatment of envenomations by snakes or scorpions. Immunotherapy is based on administration of antibodies produced by an animal hyperimmunised against venom. Improvement of whole antivenomous sera was obtained, first by separating the antibodies from other components of blood plasma, then by using enzyme digestion of immunoglobulins G and, finally, by purifying the final product. Efficacy and also tolerance were significantly increased. Antivenom administration should be performed through the intravascular route to ensure better diffusion and to facilitate the complexion with the venom. The sale of antivenoms, in particular in Africa, is considerably reduced since about thirty years and is not in adequacy with the epidemiologic needs. In addition to the high cost of the current products, the difficulties of supplying, storage and use seem at the origin of this rejection by both the health staff and the victims who resort massively to traditional medicine. Whereas WHO reminds the rules of production and use of the antivenoms to producers and authorities in charge of drug regulations, it appears that the accessibility of the antivenoms depends on a concerted effort from all the actors, coordinated by health authorities: producers, distributers, manufacturers and public. Beyond technological improvements necessary in antivenom production, the strategy to be implemented must include the strict evaluation of the needs based on epidemiologic studies, the share of cost recovery between all the actors, and the optimization of the therapeutic protocol to make it applicable in remote health centres. Once confidence towards immunotherapy will be restored, mortality will be significantly reduced.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1051/jbio/2009042"
"435","Modeling the cost-effectiveness of the integrated disease surveillance and response (IDSR) system: meningitis in Burkina Faso.","eng","United States","10.1371/journal.pone.0013044",2010,10,12,"Centers for Disease Control and Prevention, Atlanta, Georgia, United States of America.","Somda","Zana C","ZC","Meltzer","Martin I","MI","Zana C Somda, Helen N Perry, Nancy R Messonnier, Mamadou H Djingarey, Salimata Ouedraogo Ki, Martin I Meltzer","BACKGROUND: Effective surveillance for infectious diseases is an essential component of public health. There are few studies estimating the cost-effectiveness of starting or improving disease surveillance. We present a cost-effectiveness analysis the Integrated Disease Surveillance and Response (IDSR) strategy in Africa.PRINCIPAL FINDINGS: To assess the impact of the IDSR in Africa, we used pre- and post- IDSR meningococcal meningitis surveillance data from Burkina Faso (1996-2002 and 2003-2007). IDSR implementation was correlated with a median reduction of 2 weeks to peak of outbreaks (25(th) percentile 1 week; 75(th) percentile 4 weeks). IDSR was also correlated with a reduction of 43 meningitis cases per 100,000 (25(th)-40: 75(th)-129). Assuming the correlations between reductions in time to peak of outbreaks and cases are related, the cost-effectiveness of IDSR was $23 per case averted (25(th)-$30; 75(th)--cost saving), and $98 per meningitis-related death averted (25(th)-$140: 75(th)--cost saving).SIGNIFICANCE: We cannot absolutely claim that the measured differences were due to IDSR. We believe, however, that it is reasonable to claim that IDSR can improve the cost-effectiveness of public health surveillance.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1371/journal.pone.0013044"
"436","Experimental rabies vaccines for humans.","eng","United States","10.1586/erv.10.105",2010,10,7,"Department of Microbiology and Immunology, Jefferson Vaccine Center, Jefferson Medical College of Thomas Jefferson University, 1020 Locust Street, JAH 466, Philadelphia, PA 19107, USA. james.mcgettigan@jefferson.edu","McGettigan","James P","JP","McGettigan","James P","JP","James P McGettigan","Rabies remains a global public health threat that kills more than 55,000 people per year. Rabies disproportionately affects children and, therefore, is ranked the seventh most important infectious disease due to years lost. Prevention of human rabies is accomplished by controlling rabies in domestic and wild animals, including the use of vaccination programs. The usefulness of human rabies vaccines is hampered by high cost, complicated vaccination regimens and lack of compliance, especially in areas of Africa and Asia where human rabies infections are endemic. A single-dose vaccine would greatly benefit efforts to combat this global health threat. However, a single-dose vaccine based on current inactivated vaccines does not appear feasible and other approaches are needed. Technology has advanced since modern human rabies vaccines were developed over 40 years ago. In addition, our understanding of immunological principles that influence the outcome of vaccination has increased. This article describes the current status of inactivated rabies virus vaccines and recent developments arising from the use of reverse genetics technologies designed to develop replication-deficient or single-cycle live rabies virus-based vectors for use as a single-dose rabies vaccine for humans.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1586/erv.10.105"
"437","Mosquito-borne illnesses in travelers: a review of risk and prevention.","eng","United States","10.1592/phco.30.10.1031",2010,9,30,"Titus Family Department of Clinical Pharmacy, Pharmaceutical Economics and Policy, University of Southern California School of Pharmacy, Los Angeles, California 90033, USA.","Mirzaian","Edith","E","Goad","Jeffery A","JA","Edith Mirzaian, Melissa J Durham, Karl Hess, Jeffery A Goad","In 2008, residents of the United States made 12 million visits to developing countries in Asia, South America, Central America, Oceania, the Middle East, and Africa. Due to the presence of Anopheles, Aedes, and Culex mosquitoes, travel to these destinations poses a risk for diseases such as malaria, yellow fever, and Japanese encephalitis that cause significant morbidity and mortality. To gain a better understanding of the major emerging and established travel-related infectious diseases transmitted principally by mosquitoes and the measures for their prevention in U.S. residents who travel to these developing countries, we performed a literature search of the PubMed and MEDLINE databases (January 1950-February 2010). Information from the Centers for Disease Control and Prevention and the World Health Organization and relevant references from the publications identified were also reviewed. Vaccines for the prevention of Japanese encephalitis and yellow fever are commercially available to U.S. travelers and should be administered when indicated. However, the prevention of malaria, dengue fever, chikungunya, and West Nile virus relies on personal insect protection measures and chemoprophylaxis for malaria. As the rate of international travel continues to rise, individuals traveling overseas should be made aware of the risk of various infectious diseases and the importance of prevention. Physicians, pharmacists, nurses, and other practitioners can play a vital role in disease education and prevention, including the administration of vaccines and provision of chemoprophylactic drugs.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1592/phco.30.10.1031"
"438","How low can you go: the impact of a modestly effective HIV vaccine compared with male circumcision.","eng","England","10.1097/QAD.0b013e32833ead96",2010,9,11,"National Centre in HIV Epidemiology and Clinical Research, The University of New South Wales, Darlinghurst, Sydney, NSW, Australia.","Kaldor","John M","JM","Wilson","David P","DP","John M Kaldor, David P Wilson","OBJECTIVE: The first evidence of modest effectiveness of an HIV vaccine was demonstrated by the RV144 trial in Thailand in 2009. Although promising, this vaccine has largely been dismissed because it only had 30% efficacy. In contrast, male circumcision is widely supported and has approximately twice the efficacy, but can only be targeted to half of the population. We question the vaccine efficacy required before being considered in prevention strategies.DESIGN: We forecast the expected population-level impact of implementing circumcision among males compared with a 30% effective vaccine among males and females.METHODS: A mathematical transmission model was developed to describe the HIV epidemics in two different settings, Thailand and South Africa, and to forecast the expected impact of circumcision or vaccine interventions.RESULTS: Interventions using a vaccine with 30% efficacy would likely have a greater population benefit than male circumcision because a proportion of males are already circumcised, thus diminishing the potential target population. Both males and females will receive considerable benefit from vaccination (for example, 33% of infections averted for males and 36% for females in South Africa), whereas females will receive only moderate benefit from male circumcision (for example, 47% of infections averted for males and 19% for females in South Africa). In both settings, it would likely take a number of years before the interventions could have a noticeable impact on HIV epidemics.CONCLUSION: A moderately effective vaccine, such as the one demonstrated in the RV144 trial, may have a potential role in public health programs.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1097/QAD.0b013e32833ead96"
"439","Economic evaluation of pneumococcal conjugate vaccination in The Gambia.","eng","England","1471-2334-10-260",2010,9,8,"Department of Health Policy and Management, Harvard School of Public Health, Center for Health Decision Science, Boston, MA, USA. sykim@hsph.harvard.edu","Kim","Sun-Young","SY","Goldie","Sue J","SJ","Sun-Young Kim, Gene Lee, Sue J Goldie","BACKGROUND: Gambia is the second GAVI support-eligible country to introduce the 7-valent pneumococcal conjugate vaccine (PCV7), but a country-specific cost-effectiveness analysis of the vaccine is not available. Our objective was to assess the potential impact of PCVs of different valences in The Gambia.METHODS: We synthesized the best available epidemiological and cost data using a state-transition model to simulate the natural histories of various pneumococcal diseases. For the base-case, we estimated incremental cost (in 2005 US dollars) per disability-adjusted life year (DALY) averted under routine vaccination using PCV9 compared to no vaccination. We extended the base-case results for PCV9 to estimate the cost-effectiveness of PCV7, PCV10, and PCV13, each compared to no vaccination. To explore parameter uncertainty, we performed both deterministic and probabilistic sensitivity analyses. We also explored the impact of vaccine efficacy waning, herd immunity, and serotype replacement, as a part of the uncertainty analyses, by assuming alternative scenarios and extrapolating empirical results from different settings.RESULTS: Assuming 90% coverage, a program using a 9-valent PCV (PCV9) would prevent approximately 630 hospitalizations, 40 deaths, and 1000 DALYs, over the first 5 years of life of a birth cohort. Under base-case assumptions ($3.5 per vaccine), compared to no intervention, a PCV9 vaccination program would cost $670 per DALY averted in The Gambia. The corresponding values for PCV7, PCV10, and PCV13 were $910, $670, and $570 per DALY averted, respectively. Sensitivity analyses that explored the implications of the uncertain key parameters showed that model outcomes were most sensitive to vaccine price per dose, discount rate, case-fatality rate of primary endpoint pneumonia, and vaccine efficacy against primary endpoint pneumonia.CONCLUSIONS: Based on the information available now, infant PCV vaccination would be expected to reduce pneumococcal diseases caused by S. pneumoniae in The Gambia. Assuming a cost-effectiveness threshold of three times GDP per capita, all PCVs examined would be cost-effective at the tentative Advance Market Commitment (AMC) price of $3.5 per dose. Because the cost-effectiveness of a PCV program could be affected by potential serotype replacement or herd immunity effects that may not be known until after a large scale introduction, type-specific surveillance and iterative evaluation will be critical.","http://www.ncbi.nlm.nih.gov/pubmed/?term=1471-2334-10-260"
"440","Rabies and African bat lyssavirus encephalitis and its prevention.","eng","Netherlands","S0924-8579(10)00262-1",2010,8,31,"Oxford Vaccine Group, University of Oxford, Centre for Clinical Vaccinology and Tropical Medicine, Churchill Hospital, Headington, Oxford, UK. mary.warrell@ndm.ox.ac.uk","Warrell","Mary","M","Warrell","Mary","M","Mary Warrell","Unlike any other human infection, encephalitis caused by dog rabies virus is always fatal. Rabies and other lyssaviruses have been found in unexpected places, and human disease, especially paralytic rabies, has gone unrecognised. Evidence is emerging that rabies-related bat lyssaviruses are enzootic across Europe, Africa, Asia and Australia, but none has been detected in the Americas. The epidemiology and origins of African lyssaviruses are discussed. Ideal rabies prophylaxis (pre-exposure immunisation followed by post-exposure booster vaccination) has proved 100% effective; hence all human deaths result from failure of prevention. Rabies vaccines of known quality are unaffordable for the majority in Africa. Although intradermal regimens requiring &lt;40% of the usual vaccine dose are economical and are recommended by the World Health Organization, several problems have inhibited their use. A new, simplified, economical post-exposure vaccine regimen that uses an initial dose of intradermal injections at four sites overcomes many of the difficulties of the previous methods: it is at least as immunogenic as the standard intramuscular course of tissue-culture vaccine; is safer in inexperienced hands; requires fewer than two ampoules of vaccine and only three instead of five clinic visits. Recent data should increase the confidence of physicians to use the World Health Organization-accredited rabies vaccines more efficiently and at lower cost.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0924-8579(10)00262-1"
"441","Willingness to pay for three hypothetical malaria vaccines in Nigeria.","eng","United States","S0149-2918(10)00257-2",2010,8,24,"Department of Clinical Pharmacy, University of Benin, Edo, Nigeria. tonywaka@uniben.edu","Udezi","Waka Anthony","WA","Ihimekpen","Omoyeme Oluwatosin","OO","Waka Anthony Udezi, Cyril Odianose Usifoh, Omoyeme Oluwatosin Ihimekpen","BACKGROUND: Unlike some African countries that have reported a approximately 50% reduction in malaria deaths in recent years, Nigeria has shown no evidence of a systematic decline in malaria burden. An important and sustainable reduction in malaria burden cannot be achieved unless an effective and inexpensive malaria vaccine becomes available.OBJECTIVES: The goals of this study were to determine the willingness to pay (WTP) for 3 hypothetical malaria vaccines with different levels of protection (in years), effectiveness, and adverse effects; and to identify factors that influence the price that people are willing to pay in Nigeria.METHODS: With the aid of a questionnaire, a contingent valuation method using payment cards was used to elicit WTP values for 3 hypothetical malaria vaccines. Payment cards contained both a description of the features of the vaccine being evaluated and price options. The 3 hypothetical vaccines had the following characteristics: vaccine A was 75% effective, protected for 3 years, and was well tolerated; vaccine B was 85% effective, protected for 6 years, and was less well tolerated than vaccine A; and vaccine C was 95% effective and protected for 12 years, but was the least well tolerated. Participants consisted of a convenience sample of individuals who were at the pharmacy waiting area of the state-owned hospitals located in Benin City and Warri, Nigeria. Every third patient or caregiver who was in the pharmacy to fill a prescription was asked to take part in the study as they waited to see the pharmacist. If consent was not granted, the next person in line was approached to be interviewed. Linear multiple regression analysis and nonparametric Kruskal-Wallis, Mann-Whitney, or chi(2) test was applied in inferential analysis, where necessary, to investigate the effects of sociodemographic factors on WTP. Prices on payment cards were expressed in Nigerian naira (NGN 150.00 approximately US $1.00), but study results were expressed in US dollars.RESULTS: A total of 359 individuals aged &gt; or =18 years of 500 who were approached agreed to participate in the study, giving a response rate of 71.8%. Most of the participants (216/359; 60.2%) were women, and 48 of them were pregnant. Most respondents (299/359; 83.3%) had at least one malaria attack within the last year, and 27.3% (98/359) were hospitalized for malaria. The mean WTP for vaccine A was $6.77 and that for vaccine B was $6.70. Vaccine C was the least well accepted with a mean WTP of $5.06. Respondents were willing to pay significantly more for vaccine A (95% CI, $5.96-$7.57); thus, the WTP was significantly different for the 3 hypothetical malaria vaccines (P &lt; 0.001; Kruskal-Wallis statistic [kw] = 84.304). Dunn's multiple comparison test also indicated that the WTP values for vaccines A and B were significantly different from each other (P &lt; 0.05). There was also a significant difference between vaccine A or B versus C (P &lt; 0.001). All workers and those with a higher monthly income were willing to pay significantly more for vaccines A and B, but less for C (P &lt; 0.003). Those who preferred vaccine A (198/359; 55.2%) were willing to back their choice with a higher WTP (P &lt; 0.001).CONCLUSIONS: It appears that although malaria is a serious disease, the Nigerian people in this sample preferred and were willing to pay more for a vaccine that was well tolerated, even if its effectiveness and duration of protection against malaria were lower than those of a product that caused severe adverse effects. Interpretation of this study should be guided by the knowledge that differences exist between the study sample and the general population.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0149-2918(10)00257-2"
"442","Expansion of cancer care and control in countries of low and middle income: a call to action.","eng","England","S0140-6736(10)61152-X",2010,8,17,"Harvard Medical School, Boston, MA, USA.","Farmer","Paul","P","Seffrin","John R","JR","Paul Farmer, Julio Frenk, Felicia M Knaul, Lawrence N Shulman, George Alleyne, Lance Armstrong, Rifat Atun, Douglas Blayney, Lincoln Chen, Richard Feachem, Mary Gospodarowicz, Julie Gralow, Sanjay Gupta, Ana Langer, Julian Lob-Levyt, Claire Neal, Anthony Mbewu, Dina Mired, Peter Piot, K Srinath Reddy, Jeffrey D Sachs, Mahmoud Sarhan, John R Seffrin","Substantial inequalities exist in cancer survival rates across countries. In addition to prevention of new cancers by reduction of risk factors, strategies are needed to close the gap between developed and developing countries in cancer survival and the effects of the disease on human suffering. We challenge the public health community's assumption that cancers will remain untreated in poor countries, and note the analogy to similarly unfounded arguments from more than a decade ago against provision of HIV treatment. In resource-constrained countries without specialised services, experience has shown that much can be done to prevent and treat cancer by deployment of primary and secondary caregivers, use of off-patent drugs, and application of regional and global mechanisms for financing and procurement. Furthermore, several middle-income countries have included cancer treatment in national health insurance coverage with a focus on people living in poverty. These strategies can reduce costs, increase access to health services, and strengthen health systems to meet the challenge of cancer and other diseases. In 2009, we formed the Global Task Force on Expanded Access to Cancer Care and Control in Developing Countries, which is composed of leaders from the global health and cancer care communities, and is dedicated to proposal, implementation, and evaluation of strategies to advance this agenda.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0140-6736(10)61152-X"
"443","Africa is desperate for praziquantel.","eng","England","S0140-6736(10)60879-3",2010,8,17,"Department of Microbiology, Immunology, and Tropical Medicine, George Washington University and Sabin Vaccine Institute, Washington, DC 20037, USA. photez@gwu.edu","Hotez","Peter J","PJ","Savioli","Lorenzo","L","Peter J Hotez, Dirk Engels, Alan Fenwick, Lorenzo Savioli","","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0140-6736(10)60879-3"
"444","Diversity of rotavirus VP7 and VP4 genotypes in Northwestern Nigeria.","eng","United States","10.1086/653570",2010,8,13,"Department of Microbiology, Ahmadu Bello University, Zaria, Nigeria. maryamaminu@yahoo.com","Aminu","M","M","Steele","A D","AD","M Aminu, N A Page, A A Ahmad, J U Umoh, J Dewar, A D Steele","BACKGROUND: Nigeria has recently been ranked third among the 10 countries with the greatest number of rotavirus disease-associated deaths per year. Estimates attribute up to 33,000 deaths annually to rotavirus disease in Nigerian children &lt;5 years old. Although the introduction of the new oral, live attenuated rotavirus vaccines may not occur for another 4-6 years in developing countries, background data on burden of disease, cost of rotavirus disease, and characterization of circulating strains is required to hasten this introduction to children who would clearly benefit from the intervention.METHODS: Between July 2002 and July 2004, fecal specimens were collected from 869 infants and young children &lt;5 years of age presenting with diarrhea in Kaduna, Kebbi, Sokoto, and Zamfara states in northwestern Nigeria. In addition, 194 control specimens were also collected from children matched for age. Specimens were screened for the presence of rotavirus antigens. Rotavirus-positive specimens were further analyzed to determine electropherotype, subgroup specificity, and G and P genotypes.RESULTS: Rotavirus was detected in 18% of children with diarrhea and 7.2% of the age-matched case control subjects. The highest rotavirus burden was detected in children aged &lt;6 months. The majority of the rotavirus-positive specimens revealed viruses of long electropherotypes, subgroup II specificity, and G1P[8] genotypes. Furthermore, more than a quarter of specimens (37%) displayed mixed G and P genotypes, and almost a third could not be genotyped.CONCLUSIONS: The high numbers of mixed rotavirus infections highlight the multitude of enteric pathogens to which children in African countries are exposed. Data on circulating rotavirus strains serve to inform African government officials to the serious health threat posed by rotavirus in their respective countries and to document the diversity of strains before vaccine introduction.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1086/653570"
"445","The economic burden of diarrheal disease in a tertiary level hospital, Gauteng, South Africa.","eng","United States","10.1086/653560",2010,8,13,"Institute for Human Nutrition, University of Limpopo, Pretoria, South Africa. umacintyre@ul.ac.za","MacIntyre","Una E","UE","de Villiers","Francois P R","FP","Una E MacIntyre, Francois P R de Villiers","BACKGROUND: Diarrheal disease remains one of the major causes of morbidity and mortality in young children in South Africa. Although a rotavirus vaccine will reduce rotavirus diarrheal morbidity and mortality, its introduction and sustainability will incur considerable costs. The aim of this study was to estimate the costs associated with diarrheal disease of all etiologies in children &lt;5 years of age at Dr George Mukhari Hospital, a tertiary level hospital in Gauteng, South Africa.METHODS: Cost data were obtained by a review of systematically selected records of patients admitted for diarrhea during 2004 and the prospective recording of the treatment of consecutive inpatients admitted for diarrhea from February through June 2005. Data on hospital stay, medications, nondrug orders, and diagnostic tests were abstracted using standardized recording forms. Costs were calculated using 2004 and 2005 prices. Carers were interviewed using a standard interview schedule to determine out-of-pocket expenses. Stool samples were tested for rotavirus by the Medical Research Council Diarrheal Pathogens Unit.RESULTS: The review sample comprised 86 (20 rotavirus positive) patient records. The prospective sample comprised 77 inpatients (25 rotavirus positive). The mean duration (+/- standard deviation [SD]) of hospital stay was 4.6 +/- 3.4 days and 5.7 +/- 4.7 days for the review and prospective samples, respectively. The mean total inpatient cost (+/-SD) was R5963 +/- R4070 (review sample) and R7256 +/- R5599 (prospective sample; P &gt; .05). Although mean total costs did not differ significantly between rotavirus-negative and -positive samples, mean facility and antibiotic costs were significantly higher for the rotavirus-negative sample (P &lt; .05) in the prospective sample. Mean out-of-pocket expenses (+/-SD) were R100.00 +/- R112 for inpatients.CONCLUSION: Although total inpatient costs did not differ significantly between the rotavirus-negative and -positive patients, costs for the rotavirus-negative patients tended to be higher. Although a rotavirus vaccine will reduce the burden of diarrheal disease, it is imperative that measures for reducing the incidence and severity of diarrheal disease due to other pathogens are strengthened.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1086/653560"
"446","The cost-effectiveness of rotavirus vaccination in Malawi.","eng","United States","10.1086/653578",2010,8,13,"Johns Hopkins University School of Medicine, Baltimore, Maryland 21287, USA. sberry8@jhmi.edu","Berry","Stephen A","SA","Walker","Damian G","DG","Stephen A Berry, Benjamin Johns, Chuck Shih, Andrea A Berry, Damian G Walker","BACKGROUND: Rotarix (GlaxoSmithKline), a newly licensed rotavirus vaccine requiring 2 doses, may have the potential to save hundreds of thousands of lives in Africa. Nations such as Malawi, where Rotarix is currently under phase III investigation, may nevertheless face difficult economic choices in considering vaccine adoption.METHODS: The cost-effectiveness of implementing a Rotarix vaccine program in Malawi was estimated using published estimates of rotavirus burden, vaccine efficacy, and health care utilization and costs.RESULTS: With 49.5% vaccine efficacy, a Rotarix program could avert 2582 deaths annually. With GAVI Alliance cofinancing, adoption of Rotarix would be associated with a cost of $5.07 per disability-adjusted life-year averted. With market pricing, Rotarix would be associated with a base case cost of $74.73 per disability-adjusted life-year averted. Key variables influencing results were vaccine efficacy, under-2 rotavirus mortality, and program cost of administering each dose.CONCLUSIONS: Adopting Rotarix would likely be highly cost-effective for Malawi, particularly with GAVI support. This finding holds true across uncertainty ranges for key variables, including efficacy, for which data are becoming available.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1086/653578"
"447","Cuba and Brazil: an important example of South-South collaboration in health biotechnology.","eng","United States","20697336",2010,8,11,"Centro de Desenvolvimento Sustentável, Universidade de Brasília, Brazil. tirso@onix.com.br","Sáenz","Tirso W","TW","de Souza","Maria Carlota","MC","Tirso W Sáenz, Halla Thorsteinsdóttir, Maria Carlota de Souza","This article analyzes the entrepreneurial cooperation between Cuba and Brazil in health biotechnology. It looks at the strategies applied and the main impacts. The respective government/political wills and the corresponding South-South collaboration policies are discussed, as well as the steps taken to materialize collaboration programs, including joint production of a meningitis vaccine for Africa. This cooperation is a good example of how South-South collaboration can be a useful tool to promote capacity building and provide cost-effective health solutions for developing countries.","http://www.ncbi.nlm.nih.gov/pubmed/?term=20697336"
"448","Ownership and usage of insecticide-treated bed nets after free distribution via a voucher system in two provinces of Mozambique.","eng","England","1475-2875-9-222",2010,8,6,"Malaria Branch, Division of Parasitic Diseases and Malaria, Center for Global Health, US Centers for Disease Control and Prevention, Atlanta, USA.","Macedo de Oliveira","Alexandre","A","Saúte","Francisco","F","Alexandre Macedo de Oliveira, Adam Wolkon, Ramesh Krishnamurthy, Marcy Erskine, Dana P Crenshaw, Jacquelin Roberts, Francisco Saúte","BACKGROUND: Insecticide-treated bed nets (ITNs) are an efficacious intervention for malaria prevention. During a national immunization campaign in Mozambique, vouchers, which were to be redeemed at a later date for free ITNs, were distributed in Manica and Sofala provinces. A survey to evaluate ITN ownership and usage post-campaign was conducted.METHODS: Four districts in each province and four enumeration areas (EAs) in each district were selected using probability proportional to size. Within each EA, 32 households (HHs) were selected using a simple random sample. Interviews to assess ownership and usage were conducted in each of the selected HHs using personal digital assistants.RESULTS: Valid interviews were completed for 947 (92.5%) (440 in Manica and 507 in Sofala) of the 1,024 selected HHs. Among participating HHs, 65.0% in Manica and 63.1% in Sofala reported that at least one child under five years of age slept in the house the previous night. HH ownership of at least one bed net of any kind was 20.6% (95% confidence interval [CI]: 7.9%-43.6%) and 35.6% (95% CI: 27.8%-44.3%) pre-campaign; and 55.1% (95% CI: 43.6%-66.1%) and 59.6 (95% CI: 42.4%-74.7%) post-campaign in Manica and Sofala, respectively. Post-campaign HH ownership of at least one ITN was 50.2% (95% CI: 41.8%-58.5%) for both provinces combined. In addition, 60.3% (95% CI: 50.6%-69.2%) of children under five years of age slept under an ITN the previous night.CONCLUSIONS: This ITN distribution increased bed net ownership and usage rates. Integration of ITN distribution with immunization campaigns presents an opportunity for reaching malaria control targets and should continue to be considered.","http://www.ncbi.nlm.nih.gov/pubmed/?term=1475-2875-9-222"
"449","[Delocalized meeting of the Société de pathologie exotique: &quot;The Global Fund to Fight AIDS, Tuberculosis and Malaria: issues and challenges in Africa&quot;. 12-13 October 2009, Libreville, Gabon].","fre","France","20635461",2010,7,17,"CHU de Nantes, 9, quai Moncousu, F-44 093 Nantes cedex 01, France. francoise.gay-andrieu@chu-nantes.fr","Gay-Andrieu","F","F","Gay-Andrieu","F","F","F Gay-Andrieu","","http://www.ncbi.nlm.nih.gov/pubmed/?term=20635461"
