,title,language,country,id,year,month,day,affiliation,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,all_authors,abstract,url,useful,row_number
814,Planning for human papillomavirus (HPV) vaccination in sub-Saharan Africa: a modeling-based approach.,eng,United States,24731734,2014,4,16,"Department of Epidemiology and Public Health, University of Maryland School of Medicine, United States; Department of Medicine, University of Maryland School of Medicine, United States. Electronic address: ktracy@epi.umaryland.edu.",Tracy,J Kathleen,JK,Gaff,Holly D,HD,"J Kathleen Tracy, Nicholas H Schluterman, Christina Greene, Samba O Sow, Holly D Gaff","BACKGROUND: Human papillomavirus (HPV) vaccines have the potential to reduce cervical cancer incidence and mortality, particularly in the parts of the developing world that bear the greatest burden of disease. This research sought to predict the impact and cost-effectiveness of an HPV vaccination program in an example low-resource country with a high burden of cervical cancer: Mali, West Africa.METHODS: Novel compartmental mathematical models projected the impact of adolescent HPV vaccination in urban and rural areas of Mali. The models accounted for two high-risk vaccine-types: HPV 16 and 18. We then attached comprehensive real cost and cost-effectiveness estimates.RESULTS: Our models predict that HPV vaccination in Mali will reduce cervical cancer burden by a factor roughly equal to vaccine coverage. A point vaccination program was simulated in a cohort of 333,146 urban and 588,982 rural Malian women, age 10-14. Vaccination of 50% of girls reduced the peak prevalence of HPV 16/18 to 5.0% in the urban setting and 9.6% in the rural setting, down from 11.7% and 22.0%, respectively, with no vaccination. The 50% vaccination scenario averted 1145 cervical cancer deaths in the urban group and 2742 in the rural group. The cost per discounted life-year saved in this scenario was 1030 US dollars (urban) and 725 dollars (rural). The cost per life-year saved was higher at 90% coverage, but was still in the range of a &quot;cost-effective&quot; public health intervention.CONCLUSIONS: This research yielded the most comprehensive real cost estimates of HPV vaccination yet published for sub-Saharan Africa. Our models indicate that HPV vaccination in Mali will be cost-effective when introduced. To maximize the benefit using limited resources, vaccination programs may begin with a target coverage of about 50%. We anticipate that costs of reaching late adopters after the First Vaccinated Wave of vaccination will be higher, but worthwhile.",http://www.ncbi.nlm.nih.gov/pubmed/?term=24731734,no,150
823,Economic benefits of keeping vaccines at ambient temperature during mass vaccination: the case of meningitis A vaccine in Chad.,eng,Switzerland,10.2471/BLT.13.123471,2014,3,14,"Expanded Programme on Immunization Plus, World Health Organization, avenue Appia 20, 1211 Geneva 27, Switzerland .",Lydon,Patrick,P,Zaffran,Michel,M,"Patrick Lydon, Simona Zipursky, Carole Tevi-Benissan, Mamoudou Harouna Djingarey, Placide Gbedonou, Brahim Oumar Youssouf, Michel Zaffran","OBJECTIVE: To evaluate the potential economic benefits of keeping a meningitis A vaccine at or near ambient temperature for up to 4 days during a mass vaccination campaign.METHODS: During a 10-day mass vaccination campaign against meningitis A in three regions of Chad in 2011, the costs associated with storage and transport of the vaccine in a traditional cold chain system were evaluated. A mathematical model was used to estimate the savings that could have been achieved if the vaccine had been stored at or near ambient temperature--in a &quot;controlled temperature&quot; chain--at the peripheral levels of the supply chain system.FINDINGS: The cost of the cold chain and associated logistics used in the campaign in Chad was 0.24 United States dollars (US$) per person vaccinated. In the modelled scenario for a controlled temperature chain, however, these costs dropped by 50% and were estimated to be only US$ 0.12 per person vaccinated.CONCLUSION: The implementation of a &quot;controlled temperature&quot; chain at the most peripheral levels of the supply chain system--assuming no associated loss of vaccine potency, efficacy or safety--could result in major economic benefits and allow vaccine coverage to be extended in low-resource settings.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher.Abstract available from the publisher.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.2471/BLT.13.123471,no,151
828,"Cost-effectiveness analysis of vaccinating children in Malawi with RTS,S vaccines in comparison with long-lasting insecticide-treated nets.",eng,England,1475-2875-13-66,2014,2,26,"MSc in Health Policy, Planning and Financing, London School of Hygiene and Tropical Medicine and London School of Economics, London, UK. seokelly@gmail.com.",Seo,Mikyung Kelly,MK,Ngo,Karen Ngoc-Lan,KN,"Mikyung Kelly Seo, Peter Baker, Karen Ngoc-Lan Ngo","BACKGROUND: New RTS,S malaria vaccines may soon be licensed, yet its cost-effectiveness is unknown. Before the widespread introduction of RTS,S vaccines, cost-effectiveness studies are needed to help inform governments in resource-poor settings about how best to prioritize between the new vaccine and existing malaria interventions.METHODS: A Markov model simulated malaria progression in a hypothetical Malawian birth cohort. Parameters were based on published data. Three strategies were compared: no intervention, vaccination at one year, and long-lasting, insecticide-treated nets (LLINs) at birth. Both health service and societal perspectives were explored. Health outcomes were measured in disability-adjusted life years (DALYs) averted and costed in 2012 US$. Incremental cost-effectiveness ratios (ICERs) were calculated and extensive sensitivity analyses were conducted. Three times GDP per capita ($1,095) per DALY averted was used for a cost-effectiveness threshold, whilst one times GDP ($365) was considered 'very cost-effective'.RESULTS: From a societal perspective the vaccine strategy was dominant. It averted 0.11 more DALYs than LLINs and 0.372 more DALYs than the no intervention strategy per person, while costing $10.04 less than LLINs and $59.74 less than no intervention. From a health service perspective the vaccine's ICER was $145.03 per DALY averted, and thus can be considered very cost-effective. The results were robust to changes in all variables except the vaccine and LLINs' duration of efficacy. Vaccines remained cost-effective even at the lowest assumed efficacy levels of 49.6% (mild malaria) and 14.2% (severe malaria), and the highest price of $15. However, from a societal perspective, if the vaccine duration efficacy was set below 2.69 years or the LLIN duration of efficacy was greater than 4.24 years then LLINs became the more cost-effective strategy.CONCLUSION: The results showed that vaccinating Malawian children with RTS,S vaccines was very cost-effective from both a societal and a health service perspective. This result was robust to changes in most variables, including vaccine price and vaccine efficacy, but was sensitive to the duration of efficacy of the vaccine and LLINs. Given the best evidence currently available, vaccines can be considered as a very cost-effective component of Malawi's future malaria control programmes. However, long-term follow-up studies on both interventions are needed.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1475-2875-13-66,no,152
830,Cost-effectiveness of a potential group B streptococcal vaccine program for pregnant women in South Africa.,eng,Netherlands,24530145,2014,2,18,"Division of Management, Policy and Community Health, University of Texas School of Public Health, San Antonio, TX, USA. Electronic address: Sun-Young.Kim@uth.tmc.edu.",Kim,Sun-Young,SY,Sinha,Anushua,A,"Sun-Young Kim, Louise B Russell, Jeehyun Park, Jennifer R Verani, Shabir A Madhi, Clare L Cutland, Stephanie J Schrag, Anushua Sinha","BACKGROUND: In low- and middle-income countries neonatal infections are important causes of infant mortality. Group B streptococcus (GBS) is a major pathogen. A GBS polysaccharide-protein conjugate vaccine, the only option that has the potential to prevent both early- and late-onset GBS disease, has completed Phase II trials. Screening-based intrapartum antibiotic prophylaxis (IAP) for pregnant women, an effective strategy in high-income countries, is often not practical in these settings. Risk factor-based IAP (RFB-IAP) for women with risk factors at delivery has had limited success in preventing neonatal infection. We evaluated the cost and health impacts of maternal GBS vaccination in South Africa.METHODS AND FINDINGS: We developed a decision-analytic model for an annual cohort of pregnant women that simulates the natural history of GBS disease in their infants. We compared four strategies: doing nothing, maternal GBS vaccination, RFB-IAP, and vaccination plus RFB-IAP. Assuming vaccine efficacy varies from 50% to 90% against covered serotypes and 75% of pregnant women are vaccinated, GBS vaccination alone prevents 30-54% of infant GBS cases compared to doing nothing. For vaccine prices between $10 and $30, and mid-range efficacy, its cost ranges from $676 to $2390 per disability-adjusted life-year (DALY) averted ($US 2010), compared to doing nothing. RFB-IAP alone, compared to doing nothing, prevents 10% of infant GBS cases at a cost of $240/DALY. Vaccine plus RFB-IAP prevents 48% of cases at a cost of $664-2128/DALY.CONCLUSIONS: Vaccination would substantially reduce the burden of infant GBS disease in South Africa and would be very cost-effective by WHO guidelines. RFB-IAP is also very cost-effective, but prevents only 10% of cases. Vaccination plus RFB-IAP is more effective and more costly than vaccination alone, and consistently very cost-effective.",http://www.ncbi.nlm.nih.gov/pubmed/?term=24530145,no,154
831,"Mass vaccination with a new, less expensive oral cholera vaccine using public health infrastructure in India: the Odisha model.",eng,United States,10.1371/journal.pntd.0002629,2014,2,12,"Regional Medical Research Center, Bhubaneswar, Odisha, India.",Kar,Shantanu K,SK,Wierzba,Thomas F,TF,"Shantanu K Kar, Binod Sah, Bikash Patnaik, Yang Hee Kim, Anna S Kerketta, Sunheang Shin, Shyam Bandhu Rath, Mohammad Ali, Vittal Mogasale, Hemant K Khuntia, Anuj Bhattachan, Young Ae You, Mahesh K Puri, Anna Lena Lopez, Brian Maskery, Gopinath B Nair, John D Clemens, Thomas F Wierzba","INTRODUCTION: The substantial morbidity and mortality associated with recent cholera outbreaks in Haiti and Zimbabwe, as well as with cholera endemicity in countries throughout Asia and Africa, make a compelling case for supplementary cholera control measures in addition to existing interventions. Clinical trials conducted in Kolkata, India, have led to World Health Organization (WHO)-prequalification of Shanchol, an oral cholera vaccine (OCV) with a demonstrated 65% efficacy at 5 years post-vaccination. However, before this vaccine is widely used in endemic areas or in areas at risk of outbreaks, as recommended by the WHO, policymakers will require empirical evidence on its implementation and delivery costs in public health programs. The objective of the present report is to describe the organization, vaccine coverage, and delivery costs of mass vaccination with a new, less expensive OCV (Shanchol) using existing public health infrastructure in Odisha, India, as a model.METHODS: All healthy, non-pregnant residents aged 1 year and above residing in selected villages of the Satyabadi block (Puri district, Odisha, India) were invited to participate in a mass vaccination campaign using two doses of OCV. Prior to the campaign, a de jure census, micro-planning for vaccination and social mobilization activities were implemented. Vaccine coverage for each dose was ascertained as a percentage of the censused population. The direct vaccine delivery costs were estimated by reviewing project expenditure records and by interviewing key personnel.RESULTS: The mass vaccination was conducted during May and June, 2011, in two phases. In each phase, two vaccine doses were given 14 days apart. Sixty-two vaccination booths, staffed by 395 health workers/volunteers, were established in the community. For the censused population, 31,552 persons (61% of the target population) received the first dose and 23,751 (46%) of these completed their second dose, with a drop-out rate of 25% between the two doses. Higher coverage was observed among females and among 6-17 year-olds. Vaccine cost at market price (about US$1.85/dose) was the costliest item. The vaccine delivery cost was $0.49 per dose or $1.13 per fully vaccinated person.DISCUSSION: This is the first undertaken project to collect empirical evidence on the use of Shanchol within a mass vaccination campaign using existing public health program resources. Our findings suggest that mass vaccination is feasible but requires detailed micro-planning. The vaccine and delivery cost is affordable for resource poor countries. Given that the vaccine is now WHO pre-qualified, evidence from this study should encourage oral cholera vaccine use in countries where cholera remains a public health problem.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1371/journal.pntd.0002629,no,155
833,"Costs of vaccine delivery in the Gambia before and after, pentavalent and pneumococcal conjugate vaccine introductions.",eng,Netherlands,24503271,2014,2,8,"MRC, Gambia Unit, The Gambia; Gambia Government, The Gambia; London School of Hygiene and Tropical Medicine, UK. Electronic address: effuau@gmail.com.",Usuf,E,E,Griffiths,U K,UK,"E Usuf, G Mackenzie, Y Lowe-Jallow, B Boye, D Atherly, C Suraratdecha, U K Griffiths","BACKGROUND: The Gambia introduced seven-valent pneumococcal conjugate vaccine (PCV) in August 2009 and switched to 13-valent PCV in April 2011. In April 2009 monovalent hepatitis B and combined Diphtheria-Tetanus-Pertussis and Haemophilus influenzae type b vaccines were transitioned to a combined pentavalent vaccine. The current schedule offers three doses of PCV and pentavalent, and continues to give children monovalent hepatitis B vaccine at birth. We estimated the overall costs of the Gambian immunisation programme and the incremental costs of introducing pentavalent and the seven-valent PCV.METHODS: Twenty health facilities out of a total of 56 were surveyed. Data collected included number of vaccine doses delivered, staff time spent on vaccine delivery, distance travelled to collect vaccines, and cold chain expansion due to new vaccine introduction. National level data were collected from key informant interviews. Annualised costs were calculated in 2009 US$.RESULTS: With a PCV price of US$7 per dose, the incremental costs of introducing PCV was US$1.6 million, equivalent to US$25 per fully immunised child, with systems costs accounting for US$1.90. The switch to pentavalent vaccine resulted in cost savings of US$0.45 per fully immunised child. Total annual costs increased by 45% after the introduction of the new vaccines, amounting to US$ 3.0 million, or US$45 per fully immunised child.CONCLUSION: Vaccine prices were the most important determinant of total incremental costs and cold chain expansion the biggest cost component of systems costs.",http://www.ncbi.nlm.nih.gov/pubmed/?term=24503271,no,156
837,Potential cost-effectiveness of a new infant tuberculosis vaccine in South Africa--implications for clinical trials: a decision analysis.,eng,United States,10.1371/journal.pone.0083526,2014,1,24,"Respiratory Epidemiology and Clinical Research Unit, Montreal Chest Institute, Montreal, Quebec, Canada.",Ditkowsky,Jared B,JB,Schwartzman,Kevin,K,"Jared B Ditkowsky, Kevin Schwartzman","Novel tuberculosis vaccines are in varying stages of pre-clinical and clinical development. This study seeks to estimate the potential cost-effectiveness of a BCG booster vaccine, while accounting for costs of large-scale clinical trials, using the MVA85A vaccine as a case study for estimating potential costs. We conducted a decision analysis from the societal perspective, using a 10-year time frame and a 3% discount rate. We predicted active tuberculosis cases and tuberculosis-related costs for a hypothetical cohort of 960,763 South African newborns (total born in 2009). We compared neonatal vaccination with bacille Calmette-Guérin alone to vaccination with bacille Calmette-Guérin plus a booster vaccine at 4 months. We considered booster efficacy estimates ranging from 40% to 70%, relative to bacille Calmette-Guérin alone. We accounted for the costs of Phase III clinical trials. The booster vaccine was assumed to prevent progression to active tuberculosis after childhood infection, with protection decreasing linearly over 10 years. Trial costs were prorated to South Africa's global share of bacille Calmette-Guérin vaccination. Vaccination with bacille Calmette-Guérin alone resulted in estimated tuberculosis-related costs of $89.91 million 2012 USD, and 13,610 tuberculosis cases in the birth cohort, over the 10 years. Addition of the booster resulted in estimated cost savings of $7.69-$16.68 million USD, and 2,800-4,160 cases averted, for assumed efficacy values ranging from 40%-70%. A booster tuberculosis vaccine in infancy may result in net societal cost savings as well as fewer active tuberculosis cases, even if efficacy is relatively modest and large scale Phase III studies are required.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1371/journal.pone.0083526,no,157
845,Cost-effectiveness analysis of human papillomavirus vaccination in South Africa accounting for human immunodeficiency virus prevalence.,eng,England,10.1186/s12879-015-1295-z,2015,12,15,"Health Economics, GSK Vaccines, Avenue Fleming 20, 1300, Wavre, Belgium. xiao.x.li@gsk.com.",Li,Xiao,X,Demarteau,Nadia,N,"Xiao Li, Martinus P Stander, Georges Van Kriekinge, Nadia Demarteau","BACKGROUND: This study aims at evaluating the cost-effectiveness of a 2-dose schedule human papillomavirus (HPV) vaccination programme of HPV and human immunodeficiency virus (HIV) naïve 12-year-old girls, in addition to cervical cancer (CC) screening alone, in South Africa. The study aims to account for both the impact of the vaccine among girls who are HIV-positive (HIV+) as well as HIV-negative (HIV-) population.METHODS: A previously published Markov cohort model was adapted to assess the impact and cost-effectiveness of a HPV vaccination programme in girls aged 12 years (N = 527 900) using the AS04-adjuvanted HPV-16/18 vaccine from a public payer perspective. Two subpopulations were considered: HIV- and HIV+ women. Each population followed the HPV natural history with different transition probabilities. Model input data were obtained from the literature, local databases and Delphi panel. Costs and outcomes were discounted at 5 %. Extensive sensitivity analyses were conducted to assess the robustness of the evaluation.RESULTS: Implementation of the AS04-adjuvanted HPV-16/18 vaccine in combination with current cytological screening in South African girls could prevent up to 8 869 CC cases and 5 436 CC deaths over the lifetime of a single cohort. Without discounting, this HPV vaccine is dominant over screening alone; with discounting, the incremental cost-effectiveness ratio is ZAR 81 978 (South African Rand) per quality-adjusted life years (QALY) gained. HPV vaccination can be considered cost-effective based on World Health Organization (WHO) recommended threshold (3 x gross domestic product/capita = ZAR 200 293). In a scenario with a hypothetical targeted vaccination in a HIV+ subpopulation alone, the modelled outcomes suggest that HPV vaccination is still cost-effective, although the incremental cost-effectiveness ratio increases to ZAR 102 479. Results were sensitive to discount rate, vaccine efficacy, HIV incidence and mortality rates, and HPV-related disease transition probabilities.CONCLUSIONS: The AS04-adjuvanted HPV-16/18 vaccine can be considered cost-effective in a South African context although the cost-effectiveness is expected to be lower in the HIV+ subpopulation than in the overall female population. With improved access to HIV treatment, the HIV mortality and incidence rates are likely to be reduced, which could improve cost-effectiveness of the vaccination programme in South Africa.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1186/s12879-015-1295-z,no,158
860,"Public health impact and cost-effectiveness of the RTS,S/AS01 malaria vaccine: a systematic comparison of predictions from four mathematical models.",eng,United Kingdom,S0140-6736(15)00725-4,2015,11,10,"Department of Epidemiology and Public Health, Swiss Tropical and Public Health Institute, Basel, Switzerland; University of Basel, Basel, Switzerland. Electronic address: melissa.penny@unibas.ch.",Penny,Melissa A,MA,Ghani,Azra C,AC,"Melissa A Penny, Robert Verity, Caitlin A Bever, Christophe Sauboin, Katya Galactionova, Stefan Flasche, Michael T White, Edward A Wenger, Nicolas Van de Velde, Peter Pemberton-Ross, Jamie T Griffin, Thomas A Smith, Philip A Eckhoff, Farzana Muhib, Mark Jit, Azra C Ghani","BACKGROUND: The phase 3 trial of the RTS,S/AS01 malaria vaccine candidate showed modest efficacy of the vaccine against Plasmodium falciparum malaria, but was not powered to assess mortality endpoints. Impact projections and cost-effectiveness estimates for longer timeframes than the trial follow-up and across a range of settings are needed to inform policy recommendations. We aimed to assess the public health impact and cost-effectiveness of routine use of the RTS,S/AS01 vaccine in African settings.METHODS: We compared four malaria transmission models and their predictions to assess vaccine cost-effectiveness and impact. We used trial data for follow-up of 32 months or longer to parameterise vaccine protection in the group aged 5-17 months. Estimates of cases, deaths, and disability-adjusted life-years (DALYs) averted were calculated over a 15 year time horizon for a range of levels of Plasmodium falciparum parasite prevalence in 2-10 year olds (PfPR2-10; range 3-65%). We considered two vaccine schedules: three doses at ages 6, 7·5, and 9 months (three-dose schedule, 90% coverage) and including a fourth dose at age 27 months (four-dose schedule, 72% coverage). We estimated cost-effectiveness in the presence of existing malaria interventions for vaccine prices of US$2-10 per dose.FINDINGS: In regions with a PfPR2-10 of 10-65%, RTS,S/AS01 is predicted to avert a median of 93,940 (range 20,490-126,540) clinical cases and 394 (127-708) deaths for the three-dose schedule, or 116,480 (31,450-160,410) clinical cases and 484 (189-859) deaths for the four-dose schedule, per 100,000 fully vaccinated children. A positive impact is also predicted at a PfPR2-10 of 5-10%, but there is little impact at a prevalence of lower than 3%. At $5 per dose and a PfPR2-10 of 10-65%, we estimated a median incremental cost-effectiveness ratio compared with current interventions of $30 (range 18-211) per clinical case averted and $80 (44-279) per DALY averted for the three-dose schedule, and of $25 (16-222) and $87 (48-244), respectively, for the four-dose schedule. Higher ICERs were estimated at low PfPR2-10 levels.INTERPRETATION: We predict a significant public health impact and high cost-effectiveness of the RTS,S/AS01 vaccine across a wide range of settings. Decisions about implementation will need to consider levels of malaria burden, the cost-effectiveness and coverage of other malaria interventions, health priorities, financing, and the capacity of the health system to deliver the vaccine.FUNDING: PATH Malaria Vaccine Initiative; Bill &amp; Melinda Gates Foundation; Global Good Fund; Medical Research Council; UK Department for International Development; GAVI, the Vaccine Alliance; WHO.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0140-6736(15)00725-4,no,160
881,Comparing the health and social protection effects of measles vaccination strategies in Ethiopia: An extended cost-effectiveness analysis.,eng,England,26189009,2015,7,21,"Department of Health Policy and Management, University of Pittsburgh, Pittsburgh, PA, USA. Electronic address: driessen@pitt.edu.",Driessen,Julia,J,Verguet,Stéphane,S,"Julia Driessen, Zachary D Olson, Dean T Jamison, Stéphane Verguet","Vaccination coverage rates often mask wide variation in access, uptake, and cost of providing vaccination. Financial incentives have been effective at creating demand for social services in a variety of settings. Using methods of extended cost-effectiveness analysis, we compare the health and economic implications of three different vaccine delivery strategies for measles vaccination in Ethiopia: i) routine immunization, ii) routine immunization with financial incentives, and iii) mass campaigns, known as supplemental immunization activities (SIAs). We examine annual birth cohorts of almost 3,000,000 births over a ten year period, exploring variation in these outcomes based on economic status to understand how various options may improve equity. SIAs naturally achieve higher levels of vaccine coverage, but at higher costs. Routine immunization combined with financial incentives bolsters demand among more economically vulnerable households. The relative appeal of routine immunization with financial incentives and SIAs will depend on the policy environment, including short-term financial limitations, time horizons, and the types of outcomes that are desired. While the impact of financial incentives has been more thoroughly studied in other policy arenas, such as education, consideration of this approach alongside standard vaccination models such as SIAs is timely given the dialog around measles eradication.",http://www.ncbi.nlm.nih.gov/pubmed/?term=26189009,no,161
897,Health gains and financial risk protection: an extended cost-effectiveness analysis of treatment and prevention of diarrhoea in Ethiopia.,eng,England,bmjopen-2014-006402,2015,5,6,"PATH, Seattle, USA.",Pecenka,Clinton J,CJ,Verguet,Stéphane,S,"Clinton J Pecenka, Kjell Arne Johansson, Solomon Tessema Memirie, Dean T Jamison, Stéphane Verguet","OBJECTIVES: Policymakers face many decisions when considering public financing for health, including the kind of health interventions to include in a publically financed package. The consequences of these choices will influence health outcomes as well as the financial risk protection provided to different segments of the population. The purpose of this study is to illustrate the size and distribution of benefits due to treatment and prevention of diarrhoea (ie, rotavirus vaccination).METHODS: We use an economic model to examine the impacts of universal public finance (UPF) of diarrhoeal treatment alone, as opposed to diarrhoeal treatment along with rotavirus vaccination in Ethiopia using extended cost-effectiveness analysis (ECEA). ECEA allows us to measure the health gains and financial risk protection provided by these interventions for each wealth quintile. Our model compares a baseline situation with diarrhoeal treatment seeking of 32% (overall) and no rotavirus vaccination, to a situation where UPF increases treatment seeking by 20 percentage points for each quintile and rotavirus vaccination reaches DTP (diphteria, pertussis, tetanus) 2 levels for each quintile (overall rate of 52%). We calculate deaths averted, private expenditures averted and costs incurred by the government under the baseline situation and with UPF.RESULTS: We find that diarrhoeal treatment paired with rotavirus vaccination is more cost effective than diarrhoeal treatment alone for the metrics we examine in this paper (deaths and private expenditures averted). Per US$1 million invested, diarrhoeal treatment saves 44 lives and averts US$115,000 in private expenditures. For the same investment, diarrhoeal treatment and rotavirus vaccination save 61 lives and avert US$150,000 in private expenditures. The health benefits of these interventions tend to benefit the poor, while the financial benefits favour the better-off.CONCLUSIONS: Policymakers should consider multiple benefit streams as well as their scale and incidence when considering public finance of health interventions.",http://www.ncbi.nlm.nih.gov/pubmed/?term=bmjopen-2014-006402,no,162
902,What have we learned on costs and financing of routine immunization from the comprehensive multi-year plans in GAVI eligible countries?,eng,Netherlands,S0264-410X(15)00022-5,2015,4,29,"Bill &amp; Melinda Gates Foundation, Vaccine Delivery, 4929 Chevy Chase Blvd, Chevy Chase, MD 20815, United States. Electronic address: logan.brenzel@gatesfoundation.org.",Brenzel,Logan,L,Brenzel,Logan,L,Logan Brenzel,"BACKGROUND: Immunization is one of the most cost-effective health interventions, but as countries introduce new vaccines and scale-up immunization coverage, costs will likely increase. This paper updates estimates of immunization costs and financing based on information from comprehensive multi-year plans (cMYPs) from GAVI-eligible countries during a period when countries planned to introduce a range of new vaccines (2008-2016).METHODS: The analysis database included information from baseline and 5-year projection years for each country cMYP, resulting in a total sample size of 243 observations. Two-thirds were from African countries. Cost data included personnel, vaccine, injection, transport, training, maintenance, cold chain and other capital investments. Financing from government and external sources was evaluated. All estimates were converted to 2010 US Dollars. Statistical analysis was performed using STATA, and results were population-weighted.RESULTS: Results pertain to country planning estimates. Average annual routine immunization cost was $62 million. Vaccines continued to be the major cost driver (51%) followed by immunization-specific personnel costs (22%). Non-vaccine delivery costs accounted for almost half of routine program costs (44%). Routine delivery cost per dose averaged $0.61 and the delivery cost per infant was $10. The cost per DTP3 vaccinated child was $27. Routine program costs increased with each new vaccine introduced. Costs accounted for 5% of government health expenditures. Governments accounted for 67% of financing.CONCLUSION: Total and average costs of routine immunization programs are rising as coverage rates increase and new vaccines are introduced. The cost of delivering vaccines is nearly equivalent to the cost of vaccines. Governments are financing greater proportions of the immunization program but there may be limits in resource scarce countries. Price reductions for new vaccines will help reduce costs and the burden of financing. Strategies to improve efficiency in service delivery should be pursued.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(15)00022-5,no,163
903,Mapping financial flows for immunisation in Uganda 2009/10 and 2010/11: New insights for methodologies and policy.,eng,Netherlands,S0264-410X(14)01708-3,2015,4,29,"Centre for Economic Governance and AIDS in Africa (CEGAA), Cape Town, South Africa. Electronic address: guthriehealthfinancingconsult@gmail.com.",Guthrie,Teresa,T,Kinghorn,Anthony,A,"Teresa Guthrie, Charlotte Zikusooka, Brendan Kwesiga, Christabel Abewe, Stephen Lagony, Carl Schutte, Edmore Marinda, Kerrin Humphreys, Katlego Motlogelwa, Zipozihle Chuma Nombewu, Logan Brenzel, Anthony Kinghorn","BACKGROUND: The Global Vaccine Action Plan highlights the need for immunisation programmes to have sustainable access to predictable funding. A good understanding of current and future funding needs, commitments, and gaps is required to enhance planning, improve resource allocation and mobilisation, and to avoid funding bottlenecks, as well as to ensure that co-funding arrangements are appropriate. This study aimed to map the resource envelope and flows for immunisation in Uganda in 2009/10 and 2010/11.METHODS: To assess costs and financing of immunisation, the study applied a common methodology as part of the multi-country Expanded Program on Immunisation Costing (EPIC) study (Brenzel et al., 2015). The financial mapping developed a customised extension of the System of Health Accounts (SHA) codes to explore immunisation financing in detail. Data were collected from government and external sources. The mapping was able to assess financing more comprehensively than many studies, and the simultaneous costing of routine immunisation collected detailed data about human resources costs.RESULTS: The Ugandan government contributed 56% and 42% of routine immunisation funds in 2009/10 and 2010/11, respectively, higher than previously estimated, and managed up to 90% of funds. Direct delivery of services used 93% of the immunisation financial resources in 2010/11, while the above service delivery costs were small (7%). Vaccines and supplies (41%) and salaries (38%) absorbed most funding. There were differences in the key cost categories between actual resource flows and the estimates from the comprehensive multi-year plan (cMYP).CONCLUSIONS: Results highlight that governments and partners need to improve systems to routinely track immunisation financing flows for enhanced accountability, performance, and sustainability. The modified SHA coding allowed financing to be mapped to specific immunisation activities, and could be used for standardised, resource tracking compatible with National Health Accounts (NHA). Recommendations are made for refining routine resource mapping approaches.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(14)01708-3,no,164
904,Determinants of routine immunization costing in Benin and Ghana in 2011.,eng,Netherlands,S0264-410X(14)01724-1,2015,4,29,"Agence de Médecine Préventive (AMP), Ferney-Voltaire, France.",Ahanhanzo,Césaire Damien,CD,Gessner,Bradford D,BD,"Césaire Damien Ahanhanzo, Xiao Xian Huang, Jean-Bernard Le Gargasson, Justin Sossou, Frank Nyonator, Anais Colombini, Bradford D Gessner","BACKGROUND: Existing tools to evaluate costs do not always capture the heterogeneity of costs at the facility level. This study seeks to address this issue through an analysis of determinants of health facility immunization costs.METHODS: A statistical analysis on facility routine delivery and vaccine costs was conducted using ordinary least squares regression. Explanatory variables included the number of doses administered; proportion of time spent by facility staff on immunization; average staff wage; whether the health facility had enough staff; presence of cold chain equipment; distance to a vaccine collection point; and, facility ownership. Data were drawn from representative samples of primary care facilities in Benin and Ghana (46 and 50 facilities, respectively) collected as part of the EPIC studies.RESULTS: Weighted average RI immunization facility cost was US$ 16,459 in Ghana and US$ 14,994 in Benin. The regression found total doses administered to be positively and significantly associated with facility cost in both countries. A 10% increase in doses resulted in a 4% increase in cost in Ghana, and a 7.5% increase in Benin. In Ghana, the proportion of immunization time, presence of cold chain, and sufficiency of staff were positively and significantly associated with total cost. In Benin, facility cost was negatively and significantly related to distance to the vaccine collection point. In the pooled sample, facilities in capital cities were associated with significantly higher costs.CONCLUSIONS: This study provides evidence on the importance of the level of scale in determining facility immunization cost, as well as the role of availability of health workers and time they spend on immunization in Ghana and Benin. This type of analysis can provide insights into the costs of scaling up immunization services, and can assist with development of more efficient immunization strategies.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(14)01724-1,no,165
